id,tx,ty,tz,qw,qx,qy,qz,fx,fy,cx,cy
0,2.595057,-2.231426,-0.793914,-0.204152,-0.012462,-0.977042,0.059620,1414.141602,1414.141602,480,270
1,2.595271,-2.229599,-0.786143,-0.203167,-0.012416,-0.977243,0.059702,1414.141602,1414.141602,480,270
2,2.595904,-2.224298,-0.763618,-0.200294,-0.012282,-0.977823,0.059940,1414.141602,1414.141602,480,270
3,2.596940,-2.215801,-0.727518,-0.195652,-0.012063,-0.978742,0.060322,1414.141602,1414.141602,480,270
4,2.598362,-2.204381,-0.679024,-0.189357,-0.011760,-0.979951,0.060834,1414.141602,1414.141602,480,270
5,2.600156,-2.190313,-0.619317,-0.181527,-0.011373,-0.981397,0.061464,1414.141602,1414.141602,480,270
6,2.602304,-2.173872,-0.549576,-0.172279,-0.010905,-0.983022,0.062198,1414.141602,1414.141602,480,270
7,2.604792,-2.155333,-0.470983,-0.161729,-0.010354,-0.984766,0.063021,1414.141602,1414.141602,480,270
8,2.607604,-2.134971,-0.384717,-0.149997,-0.009723,-0.986570,0.063921,1414.141602,1414.141602,480,270
9,2.610723,-2.113061,-0.291960,-0.137199,-0.009011,-0.988375,0.064883,1414.141602,1414.141602,480,270
10,2.614135,-2.089877,-0.193890,-0.123457,-0.008220,-0.990126,0.065893,1414.141602,1414.141602,480,270
11,2.617822,-2.065695,-0.091689,-0.108892,-0.007354,-0.991770,0.066936,1414.141602,1414.141602,480,270
12,2.621770,-2.040789,0.013462,-0.093629,-0.006414,-0.993262,0.068000,1414.141602,1414.141602,480,270
13,2.625962,-2.015434,0.120385,-0.077791,-0.005407,-0.994560,0.069069,1414.141602,1414.141602,480,270
14,2.630383,-1.989905,0.227897,-0.061504,-0.004337,-0.995630,0.070131,1414.141602,1414.141602,480,270
15,2.635017,-1.964476,0.334819,-0.044897,-0.003211,-0.996448,0.071171,1414.141602,1414.141602,480,270
16,2.639848,-1.939423,0.439971,-0.028098,-0.002039,-0.996994,0.072177,1414.141602,1414.141602,480,270
17,2.644861,-1.915021,0.542172,-0.011236,-0.000828,-0.997258,0.073137,1414.141602,1414.141602,480,270
18,2.650039,-1.891544,0.640241,0.005561,0.000408,-0.997240,0.074038,1414.141602,1414.141602,480,270
19,2.655366,-1.869267,0.732999,0.022163,0.001660,-0.996946,0.074870,1414.141602,1414.141602,480,270
20,2.660827,-1.848466,0.819265,0.038441,0.002913,-0.996391,0.075621,1414.141602,1414.141602,480,270
21,2.666407,-1.829414,0.897858,0.054269,0.004154,-0.995600,0.076284,1414.141602,1414.141602,480,270
22,2.672088,-1.812387,0.967598,0.069518,0.005367,-0.994602,0.076847,1414.141602,1414.141602,480,270
23,2.677856,-1.797659,1.027306,0.084063,0.006537,-0.993436,0.077305,1414.141602,1414.141602,480,270
24,2.683695,-1.785506,1.075799,0.097781,0.007648,-0.992145,0.077649,1414.141602,1414.141602,480,270
25,2.689588,-1.776202,1.111899,0.110548,0.008684,-0.990777,0.077872,1414.141602,1414.141602,480,270
26,2.695521,-1.770023,1.134425,0.122243,0.009629,-0.989386,0.077969,1414.141602,1414.141602,480,270
27,2.701476,-1.767242,1.142195,0.132747,0.010466,-0.988026,0.077932,1414.141602,1414.141602,480,270
28,2.708495,-1.766274,1.140627,0.142691,0.011245,-0.986642,0.077787,1414.141602,1414.141602,480,270
29,2.717597,-1.765348,1.135964,0.152780,0.012024,-0.985139,0.077562,1414.141602,1414.141602,480,270
30,2.728734,-1.764463,1.128274,0.163007,0.012800,-0.983512,0.077258,1414.141602,1414.141602,480,270
31,2.741858,-1.763620,1.117622,0.173364,0.013571,-0.981759,0.076877,1414.141602,1414.141602,480,270
32,2.756921,-1.762815,1.104074,0.183844,0.014333,-0.979875,0.076420,1414.141602,1414.141602,480,270
33,2.773876,-1.762050,1.087696,0.194440,0.015085,-0.977858,0.075889,1414.141602,1414.141602,480,270
34,2.792676,-1.761323,1.068553,0.205142,0.015824,-0.975704,0.075285,1414.141602,1414.141602,480,270
35,2.813271,-1.760633,1.046712,0.215944,0.016547,-0.973410,0.074611,1414.141602,1414.141602,480,270
36,2.835615,-1.759979,1.022237,0.226838,0.017252,-0.970974,0.073867,1414.141602,1414.141602,480,270
37,2.859660,-1.759361,0.995196,0.237815,0.017936,-0.968393,0.073056,1414.141602,1414.141602,480,270
38,2.885359,-1.758777,0.965654,0.248867,0.018597,-0.965665,0.072180,1414.141602,1414.141602,480,270
39,2.912662,-1.758228,0.933677,0.259987,0.019233,-0.962788,0.071240,1414.141602,1414.141602,480,270
40,2.941523,-1.757711,0.899330,0.271167,0.019840,-0.959761,0.070239,1414.141602,1414.141602,480,270
41,2.971895,-1.757227,0.862679,0.282398,0.020418,-0.956582,0.069178,1414.141602,1414.141602,480,270
42,3.003728,-1.756774,0.823791,0.293672,0.020963,-0.953250,0.068061,1414.141602,1414.141602,480,270
43,3.036977,-1.756351,0.782731,0.304981,0.021474,-0.949764,0.066888,1414.141602,1414.141602,480,270
44,3.071591,-1.755958,0.739565,0.316317,0.021948,-0.946124,0.065663,1414.141602,1414.141602,480,270
45,3.107526,-1.755594,0.694358,0.327673,0.022384,-0.942329,0.064388,1414.141602,1414.141602,480,270
46,3.144731,-1.755258,0.647177,0.339039,0.022780,-0.938380,0.063064,1414.141602,1414.141602,480,270
47,3.183160,-1.754948,0.598088,0.350409,0.023134,-0.934276,0.061695,1414.141602,1414.141602,480,270
48,3.222765,-1.754666,0.547156,0.361773,0.023445,-0.930020,0.060283,1414.141602,1414.141602,480,270
49,3.263499,-1.754408,0.494447,0.373125,0.023710,-0.925610,0.058830,1414.141602,1414.141602,480,270
50,3.305312,-1.754176,0.440026,0.384457,0.023929,-0.921050,0.057338,1414.141602,1414.141602,480,270
51,3.348159,-1.753967,0.383961,0.395760,0.024099,-0.916340,0.055811,1414.141602,1414.141602,480,270
52,3.391991,-1.753781,0.326316,0.407027,0.024221,-0.911482,0.054251,1414.141602,1414.141602,480,270
53,3.436760,-1.753617,0.267158,0.418250,0.024292,-0.906479,0.052661,1414.141602,1414.141602,480,270
54,3.482419,-1.753474,0.206551,0.429422,0.024313,-0.901332,0.051042,1414.141602,1414.141602,480,270
55,3.528919,-1.753352,0.144563,0.440536,0.024281,-0.896046,0.049398,1414.141602,1414.141602,480,270
56,3.576214,-1.753249,0.081259,0.451584,0.024196,-0.890622,0.047731,1414.141602,1414.141602,480,270
57,3.624255,-1.753165,0.016704,0.462560,0.024058,-0.885065,0.046043,1414.141602,1414.141602,480,270
58,3.672995,-1.753099,-0.049034,0.473455,0.023866,-0.879377,0.044339,1414.141602,1414.141602,480,270
59,3.722386,-1.753050,-0.115892,0.484264,0.023620,-0.873564,0.042618,1414.141602,1414.141602,480,270
60,3.772380,-1.753018,-0.183802,0.494980,0.023320,-0.867629,0.040886,1414.141602,1414.141602,480,270
61,3.822930,-1.753000,-0.252699,0.505596,0.022965,-0.861576,0.039143,1414.141602,1414.141602,480,270
62,3.873987,-1.752997,-0.322517,0.516106,0.022555,-0.855411,0.037392,1414.141602,1414.141602,480,270
63,3.925505,-1.753008,-0.393191,0.526503,0.022091,-0.849139,0.035637,1414.141602,1414.141602,480,270
64,3.977436,-1.753032,-0.464654,0.536782,0.021572,-0.842764,0.033878,1414.141602,1414.141602,480,270
65,4.029730,-1.753068,-0.536840,0.546938,0.021000,-0.836293,0.032119,1414.141602,1414.141602,480,270
66,4.082343,-1.753114,-0.609684,0.556964,0.020375,-0.829732,0.030362,1414.141602,1414.141602,480,270
67,4.135223,-1.753172,-0.683120,0.566854,0.019697,-0.823085,0.028609,1414.141602,1414.141602,480,270
68,4.188326,-1.753238,-0.757082,0.576605,0.018967,-0.816361,0.026862,1414.141602,1414.141602,480,270
69,4.241602,-1.753314,-0.831505,0.586211,0.018186,-0.809565,0.025123,1414.141602,1414.141602,480,270
70,4.295005,-1.753397,-0.906321,0.595667,0.017355,-0.802703,0.023395,1414.141602,1414.141602,480,270
71,4.348485,-1.753487,-0.981467,0.604969,0.016475,-0.795784,0.021679,1414.141602,1414.141602,480,270
72,4.401997,-1.753584,-1.056875,0.614112,0.015547,-0.788813,0.019977,1414.141602,1414.141602,480,270
73,4.455491,-1.753686,-1.132480,0.623092,0.014572,-0.781799,0.018291,1414.141602,1414.141602,480,270
74,4.508921,-1.753792,-1.208216,0.631906,0.013552,-0.774748,0.016623,1414.141602,1414.141602,480,270
75,4.562238,-1.753901,-1.284017,0.640550,0.012488,-0.767669,0.014974,1414.141602,1414.141602,480,270
76,4.615395,-1.754014,-1.359818,0.649021,0.011382,-0.760568,0.013346,1414.141602,1414.141602,480,270
77,4.668344,-1.754128,-1.435552,0.657315,0.010236,-0.753455,0.011740,1414.141602,1414.141602,480,270
78,4.721037,-1.754244,-1.511154,0.665430,0.009050,-0.746336,0.010158,1414.141602,1414.141602,480,270
79,4.773427,-1.754360,-1.586558,0.673363,0.007828,-0.739221,0.008600,1414.141602,1414.141602,480,270
80,4.825466,-1.754475,-1.661698,0.681111,0.006570,-0.732117,0.007069,1414.141602,1414.141602,480,270
81,4.877106,-1.754589,-1.736508,0.688672,0.005278,-0.725033,0.005564,1414.141602,1414.141602,480,270
82,4.928298,-1.754701,-1.810923,0.696045,0.003955,-0.717976,0.004087,1414.141602,1414.141602,480,270
83,4.978998,-1.754809,-1.884876,0.703226,0.002603,-0.710956,0.002639,1414.141602,1414.141602,480,270
84,5.029155,-1.754914,-1.958302,0.710216,0.001224,-0.703982,0.001220,1414.141602,1414.141602,480,270
85,5.078722,-1.755014,-2.031135,0.717012,-0.000181,-0.697061,-0.000169,1414.141602,1414.141602,480,270
86,5.127651,-1.755108,-2.103308,0.723613,-0.001608,-0.690203,-0.001527,1414.141602,1414.141602,480,270
87,5.175896,-1.755196,-2.174757,0.730018,-0.003057,-0.683415,-0.002855,1414.141602,1414.141602,480,270
88,5.223407,-1.755276,-2.245416,0.736226,-0.004524,-0.676708,-0.004151,1414.141602,1414.141602,480,270
89,5.270139,-1.755349,-2.315218,0.742237,-0.006007,-0.670089,-0.005416,1414.141602,1414.141602,480,270
90,5.316042,-1.755412,-2.384097,0.748050,-0.007504,-0.663567,-0.006650,1414.141602,1414.141602,480,270
91,5.361068,-1.755466,-2.451988,0.753664,-0.009012,-0.657151,-0.007852,1414.141602,1414.141602,480,270
92,5.405171,-1.755509,-2.518826,0.759080,-0.010530,-0.650850,-0.009022,1414.141602,1414.141602,480,270
93,5.448302,-1.755540,-2.584545,0.764296,-0.012055,-0.644672,-0.010162,1414.141602,1414.141602,480,270
94,5.490414,-1.755560,-2.649077,0.769314,-0.013584,-0.638627,-0.011270,1414.141602,1414.141602,480,270
